Артикул;Название;Цена;Старая цена;Процент скидки;Категория;Производитель;Материал;Страна;Размер;Единиц в упаковке;Вес;Новинка;Акция;Хит продаж
200477;Шар (5''/13 см) Зеленый (030), пастель, 100 шт.;323,00;;;Круглые без рисунка;Sempertex S.A.;Латекс;КОЛУМБИЯ;"5""";100;0,09;Нет;Нет;Нет
380902;Воздушный шар с рисунком (36''/91 см) Молодожены, Серебро (481), перламутр, 4 ст, 10 шт.;645,00;1612,50;60;Круглые с рисунком;Sempertex S.A.;Латекс;КОЛУМБИЯ;"36""";10;0,354;Нет;Да;Нет
593975;ШДМ (6''/15 см) Фиолетовый (051), пастель, 100 шт.;1 890,00;;;Шары для моделирования;Sempertex S.A.;Латекс;КОЛУМБИЯ;"6""";100;0,693;Нет;нет;Нет
623467;Сердце (6''/15 см) Лайм (031), пастель, 100 шт.;330,00;;;Сердца;Sempertex S.A.;Латекс;КОЛУМБИЯ;"6""";100;0,11;Нет;нет;Нет
240152;Шар для упаковки (18''/46 см) Бабочки и цветок, Прозрачный (390), кристалл, 5 ст, 25 шт.;1380,00;;;Шары для упаковки;Sempertex S.A.;Латекс;КОЛУМБИЯ;"18""";25;0,224;Нет;нет;Нет
741T09TESV;Шар (18''/46 см) Сфера 3D, Deco Bubble, Прозрачный, Кристалл, 1 шт.;208,00;;;Deco Bubble;Grabo S.r.l.;Фольга;ИТАЛИЯ;"18""";1;0,014;Нет;Нет;Нет
550005;Шар (18''/46 см) Сфера 3D, Deco Bubble, Серебро, Хром, 10 шт.;770,00;;;Deco Bubble;Falali;Фольга;КИТАЙ;"18""";10;0,1;Нет;Нет;Нет
G74004;Шар (18''/46 см) Сфера 3D, Планета Земля, 1 шт.;242,00;;;3D фигуры c рисунком;Grabo S.r.l.;Фольга;ИТАЛИЯ;"18""";1;0,014;Нет;Нет;Нет
190302;Шар-самодув (7''/18 см) Мини-цифра, 2, Серебро, 1 шт.;30,00;;;Шары-самодувы;Falali;Фольга;КИТАЙ;"7""";1;0,005;Нет;Нет;Нет
10006S;Шар (18''/46 см) Звезда, Серебро, 1 шт.;57,00;;;17-22'' Звезды;Grabo S.r.l.;Фольга;ИТАЛИЯ;"18""";1;0,011;Нет;Нет;Нет
120102;Воздушный шар Звезда (18''/46 см) Оранжевый, 1 шт.;12,00;20,00;40;17-22'' Звезды;Falali;Фольга;КИТАЙ;"18""";1;0,009;Нет;Нет;Нет
00218;Хай-флоат ультра (2.84 л);3 290,00;;;Полимерный клей для шаров;Hi-Float;Полимерный клей;США;"1""";1;3,22;Нет;Нет;Нет
00225;Хай-флоат ультра (0.71 л);935,00;;;Полимерный клей для шаров;Hi-Float;Полимерный клей;США;"1""";1;0,845;Нет;Нет;Нет
00270;Хай-флоат ультра (0.47 л) с дозатором;965,00;;;Полимерный клей для шаров;Hi-Float;Полимерный клей;США;"1""";1;0,586;Нет;Нет;Нет
512010;Светодиодная нить Разноцветного свечения, 3м, 30 Led;124,00;;;Светодиодная подсветка;Boro Industrial;;КИТАЙ;"1""";1;0,033;Нет;Нет;Нет
700202;Краска для печати на воздушных шарах, Зеленый, флюор, 870 мл.;2 465,00;;;Печать на шарах;Дон Баллон;;РОССИЯ;;1;0,97;Нет;Нет;Нет
БАНКА;"Банка""Джойка"" (2 л) с крышкой и ручкой";87,00;;;Аксессуары для шаров;МЦ ТПА;;РОССИЯ;"1""";1;0,143;Нет;Нет;Нет
HT508;Компрессор для воздушных шаров (700 ватт);3 900,00;;;Компрессоры и насосы;Stermay;;КИТАЙ;;1;1,6;Нет;Нет;Да
HT518;Компрессор для воздушных шаров (600 ватт);2 400,00;;;Компрессоры и насосы;Stermay;;КИТАЙ;;1;1;Нет;Нет;Нет
HT502;Компрессор для воздушных шаров (300 ватт), Синий;2 340,00;;;Компрессоры и насосы;Stermay;;КИТАЙ;;1;0,95;Нет;Нет;Нет
HT505;Компрессор для воздушных шаров (400 ватт);3 200,00;;;Компрессоры и насосы;Stermay;;КИТАЙ;;1;1;Нет;Нет;Нет
HT588;Компрессор для воздушных шаров (300 ватт), Розовый;1 780,00;;;Компрессоры и насосы;Stermay;;КИТАЙ;;1;0,755;Нет;Нет;Нет
CL-870;Насос для воздушных шаров ручной, Профессиональный, 32 см, 1 шт.;230,00;;;Компрессоры и насосы;Дон Баллон;;ТАЙВАНЬ (КИТАЙ);"1""";1;0,091;Нет;Нет;Нет
CL-861;Насос ручной для ШДМ, Профессиональный, 21 см, 1 шт.;240,00;;;Компрессоры и насосы;Дон Баллон;;ТАЙВАНЬ (КИТАЙ);"1""";1;0,2;Нет;Нет;Нет
6014604;Стаканы для праздника (180 мл) Бабочки, 6 шт.;18,00;25,71;30;Одноразовые стаканы;Волна веселья;;КИТАЙ;;6;0,029;Нет;Да;Нет
6224031;Стаканы (180 мл) Серебряная кайма, Тиффани/Белый, 6 шт.;48,00;;;Одноразовые стаканы;Волна веселья;;КИТАЙ;;6;0,033;Нет;Нет;Нет
6014911;Стаканы (255 мл) Смайл, Emoji, Черный, 6 шт.;26,00;43,33;40;Одноразовые стаканы;Волна веселья;;КИТАЙ;;6;0,04;Нет;Да;Нет
6014936;Стаканы (255 мл) Смайл, Emoji, Джунгли, Зеленый, 6 шт.;26,00;43,33;40;Одноразовые стаканы;Дон Баллон;;РОССИЯ;;6;0,04;Нет;Да;Нет
